model,feature,importance
LightGBM,compound_mean,12.0
LightGBM,compound_std,109.0
LightGBM,positive_mean,30.0
LightGBM,negative_mean,27.0
LightGBM,neutral_mean,95.0
LightGBM,total_tweets,67.0
LightGBM,engagement_score_sum,91.0
LightGBM,sentiment_positive_ratio,2.0
LightGBM,sentiment_negative_ratio,4.0
LightGBM,sentiment_neutral_ratio,55.0
LightGBM,sentiment_volatility,47.0
LightGBM,weighted_sentiment,38.0
LightGBM,sentiment_ma_7,34.0
LightGBM,sentiment_ma_14,24.0
LightGBM,sentiment_momentum,40.0
LightGBM,Close,44.0
LightGBM,High,32.0
LightGBM,Low,8.0
LightGBM,Open,31.0
LightGBM,Volume,59.0
LightGBM,btc_return,96.0
LightGBM,price_ma_7,9.0
LightGBM,price_ma_21,28.0
LightGBM,volatility,96.0
LightGBM,sentiment_change,50.0
LightGBM,sentiment_momentum_3d,89.0
LightGBM,sentiment_momentum_7d,57.0
LightGBM,sentiment_momentum_14d,86.0
LightGBM,sentiment_volatility_lag_1d,96.0
LightGBM,sentiment_volatility_lag_3d,70.0
LightGBM,sentiment_volatility_lag_7d,108.0
LightGBM,sentiment_ma_3d,13.0
LightGBM,sentiment_ratio_3d,62.0
LightGBM,sentiment_std_3d,51.0
LightGBM,sentiment_ma_7d,13.0
LightGBM,sentiment_ratio_7d,32.0
LightGBM,sentiment_std_7d,69.0
LightGBM,sentiment_ma_14d,4.0
LightGBM,sentiment_ratio_14d,43.0
LightGBM,sentiment_std_14d,49.0
LightGBM,sentiment_ma_21d,34.0
LightGBM,sentiment_ratio_21d,25.0
LightGBM,sentiment_std_21d,84.0
LightGBM,sentiment_z_score_7d,36.0
LightGBM,sentiment_percentile_14d,10.0
LightGBM,volume_weighted_sentiment,16.0
LightGBM,engagement_per_tweet,44.0
LightGBM,engagement_sentiment_ratio,42.0
LightGBM,sentiment_polarity_strength,0.0
LightGBM,sentiment_uncertainty,73.0
LightGBM,sentiment_conviction,43.0
LightGBM,compound_mean_lag_1d,46.0
LightGBM,sentiment_positive_ratio_lag_1d,6.0
LightGBM,weighted_sentiment_lag_1d,21.0
LightGBM,compound_mean_lag_2d,56.0
LightGBM,sentiment_positive_ratio_lag_2d,4.0
LightGBM,weighted_sentiment_lag_2d,42.0
LightGBM,compound_mean_lag_3d,46.0
LightGBM,sentiment_positive_ratio_lag_3d,7.0
LightGBM,weighted_sentiment_lag_3d,15.0
LightGBM,compound_mean_lag_7d,34.0
LightGBM,sentiment_positive_ratio_lag_7d,14.0
LightGBM,weighted_sentiment_lag_7d,55.0
LightGBM,sentiment_change_1d,9.0
LightGBM,sentiment_change_3d,38.0
LightGBM,sentiment_acceleration,67.0
LightGBM,sentiment_regime_bull,4.0
